description,category_id,meta_info,product_id,pdp_url,sku,brand,feature_image,department_id,mrp,product_name,feature_image_s3,channel_id,feature_list,style_attributes,category_name,Retailer_name,style_attributes2,feature_list2,df_name
hawaii,,"Marble Top Material Adjustable Hinges,Concealed Hinges,Predrilled,Prefinished,Soft Close Doors,Soft Close Drawers Vanity Features White Carrara Marble Top Color Unassembled Assembled White Sink Color ",,https://www.homedepot.com/p/Wyndham-Collection-Sheffield-30-in-W-x-22-in-D-x-35-25-in-H-Single-Bath-Vanity-in-Espresso-with-White-Carrara-Marble-Top-and-MC-Mirror-WCS141430SESCMUNOMED/206476568,,Wyndham Collection,https://images.thdstatic.com/productImages/7f649833-b174-4e66-a7d6-caa85878bee2/svn/wyndham-collection-bathroom-vanities-with-tops-wcs141430sescmunomed-64_1000.jpg,,103799,Sheffield 30 in. W x 22 in. D x 35.25 in. H Single Bath Vanity in Espresso with White Carrara Marble Top and MC Mirror,https://assets.stylumia.com/originals/2024/11/68/793d9da5d0ad49e42e9587f914e76675a4976b773d2f23ae75422ff494ed957e.jpg,,"['Sheffield 30 in bathroom vanity with white carrara marble top', 'Features 2 doors, 1 drawer, and generous storage space', 'Mirror and backsplash included; faucet not included', 'Constructed of environmentally friendly, zero emissions solid wood, engineered to prevent warping and last a lifetime; 12-stage wood preparation, sanding, painting and finishing process; highly water-resistant low V.O.C. sealed finish; beautiful transitional styling that compliments any bathroom; practical floor-standing design', 'Minimal assembly required; deep doweled drawers; fully-extending under-mount soft-close drawer slides; concealed soft-close door hinges; white carrara marble countertop', 'Counter includes 3 in. backsplash; available with porcelain under-mount sink(s); oval sink(s) available with pre-drilled 8 in. widespread 3-hole faucet mounts; faucet(s) not included; metal exterior hardware with brushed chrome finish', '2 functional doors', '1 functional drawer', 'Plenty of storage space', 'Variations in the shading and grain of our natural stone products enhance the individuality of your vanity and ensure that it will be truly unique', 'Plenty of counter space']","{'Top Material': 'Marble', 'Vanity Features': 'Adjustable Hinges,Concealed Hinges,Predrilled,Prefinished,Soft Close Doors,Soft Close Drawers', 'Top Color': 'White Carrara Marble', 'Assembled': 'Unassembled', 'Sink Color': 'White', 'Product Depth (in.)': '22 in', 'Faucet Included': 'Faucet Not Included', 'Number of Shelves Included in Cabinet': '0', 'Mirror Height (in.)': '33', 'Cabinet Color': 'Espresso with Brushed Chrome Trim', 'Internet Sku': '206476568', 'Cabinet Color Family': 'Brown', 'Top Color Family': 'White', 'Basin Depth (in.)': '6.5', 'Cabinet Shade': 'Dark', 'Top weight (lb.)': '90', 'Sink Color Family': 'White', 'Number of Sinks': 'Single Sink', 'Manufacturer Warranty': '2 year limited warranty', 'Vanity Top Thickness (in.)': '0.75', 'Hardware Finish Family': 'Chrome', 'Style': 'Transitional', 'Sink Type': 'Undermount', 'Sink Material': 'Porcelain', 'Basin Length (in.)': '12.5', 'Mirror Width (in.)': '24', 'Backsplash Height (in.)': '3', 'Cabinet Width (in.)': '30.00', 'Cabinet & Top Assembled weight (lbs)': '198', 'Mirror Features': 'Beveled Edge Mirror', 'Returnable': '90-Day', 'Vanity Top Edge Type': 'Straight', 'Sink Location': 'Center', 'Cabinet Height (in.)': '35.25', 'Product Width (in.)': '30 in', 'Included': 'Drawers,Legs,Pull Handle(s)', 'Cabinet Material': 'Wood', 'Backsplash Included': 'Backsplash Included', 'Vanity Type': 'Freestanding', 'Cabinet Depth (in.)': '22.00', 'Store Sku': '1001555305', 'Sink Shape': 'Round', 'Mirror Included': 'Mirror Included', 'Faucet Hole Spacing (in.)': '8 in. Faucet Hole Spacing', 'Number of Drawers': '1', 'Model': 'WCS141430SESCMUNOMED', 'Basin Width (in.)': '16.5', 'Product Height (in.)': '35.25 in'}",Bathroom Vanities,HomeDepot US,"Top Material: Marble
Vanity Features: Adjustable Hinges,Concealed Hinges,Predrilled,Prefinished,Soft Close Doors,Soft Close Drawers
Top Color: White Carrara Marble
Assembled: Unassembled
Sink Color: White
Product Depth (in.): 22 in
Faucet Included: Faucet Not Included
Number of Shelves Included in Cabinet: 0
Mirror Height (in.): 33
Cabinet Color: Espresso with Brushed Chrome Trim
Internet Sku: 206476568
Cabinet Color Family: Brown
Top Color Family: White
Basin Depth (in.): 6.5
Cabinet Shade: Dark
Top weight (lb.): 90
Sink Color Family: White
Number of Sinks: Single Sink
Manufacturer Warranty: 2 year limited warranty
Vanity Top Thickness (in.): 0.75
Hardware Finish Family: Chrome
Style: Transitional
Sink Type: Undermount
Sink Material: Porcelain
Basin Length (in.): 12.5
Mirror Width (in.): 24
Backsplash Height (in.): 3
Cabinet Width (in.): 30.00
Cabinet & Top Assembled weight (lbs): 198
Mirror Features: Beveled Edge Mirror
Returnable: 90-Day
Vanity Top Edge Type: Straight
Sink Location: Center
Cabinet Height (in.): 35.25
Product Width (in.): 30 in
Included: Drawers,Legs,Pull Handle(s)
Cabinet Material: Wood
Backsplash Included: Backsplash Included
Vanity Type: Freestanding
Cabinet Depth (in.): 22.00
Store Sku: 1001555305
Sink Shape: Round
Mirror Included: Mirror Included
Faucet Hole Spacing (in.): 8 in. Faucet Hole Spacing
Number of Drawers: 1
Model: WCS141430SESCMUNOMED
Basin Width (in.): 16.5
Product Height (in.): 35.25 in","Sheffield 30 in bathroom vanity with white carrara marble top
Features 2 doors, 1 drawer, and generous storage space
Mirror and backsplash included; faucet not included
Constructed of environmentally friendly, zero emissions solid wood, engineered to prevent warping and last a lifetime; 12-stage wood preparation, sanding, painting and finishing process; highly water-resistant low V.O.C. sealed finish; beautiful transitional styling that compliments any bathroom; practical floor-standing design
Minimal assembly required; deep doweled drawers; fully-extending under-mount soft-close drawer slides; concealed soft-close door hinges; white carrara marble countertop
Counter includes 3 in. backsplash; available with porcelain under-mount sink(s); oval sink(s) available with pre-drilled 8 in. widespread 3-hole faucet mounts; faucet(s) not included; metal exterior hardware with brushed chrome finish
2 functional doors
1 functional drawer
Plenty of storage space
Variations in the shading and grain of our natural stone products enhance the individuality of your vanity and ensure that it will be truly unique
Plenty of counter space",
saree,,"Colour:Purple Fabric:Georgette Design Type:Stone Work,Thread Work Items Included:Saree Wash Care:Dry Clean Only Disclaimer Text:Product color may slightly vary due to photographic lighting sources or ",,https://www.manyavar.com/en-in/saree/dazzling-purple-georgette-saree/UC124562.html,,Mohey,https://manyavar.scene7.com/is/image/manyavar/SB15809_413-PURPLE_101.34566_23-10-2024-17-33:650x900,,17999,Dazzling Purple Georgette Saree,https://assets.stylumia.com/originals/2024/11/198/ba26b6e8fa2a8b950bb59639b3ea73791f07c7894e10e1c16abaeca8797ec1ae.jpg,,"['Colour:Purple', 'Fabric:Georgette', 'Design Type:Stone Work,Thread Work', 'Items Included:Saree', 'Wash Care:Dry Clean Only', 'Disclaimer Text:Product color may slightly vary due to photographic lighting sources or your monitor/screen settings.', 'Manufacturer:Vedant Fashions Limited,Paridhan Garment Park, 19, Canal South Road, SDF-1, 4th Floor, A501-A502, Kolkata, West Bengal 700015 INDIA']",{},Sarees,Manyavar IN,,"Colour:Purple
Fabric:Georgette
Design Type:Stone Work,Thread Work
Items Included:Saree
Wash Care:Dry Clean Only
Disclaimer Text:Product color may slightly vary due to photographic lighting sources or your monitor/screen settings.
Manufacturer:Vedant Fashions Limited,Paridhan Garment Park, 19, Canal South Road, SDF-1, 4th Floor, A501-A502, Kolkata, West Bengal 700015 INDIA",
hawaii,,"Marble Top Material Adjustable Hinges,Concealed Hinges,Predrilled,Prefinished,Soft Close Doors,Soft Close Drawers Vanity Features White Carrara Marble Top Color Unassembled Assembled White Sink Color ",,https://www.homedepot.com/p/Wyndham-Collection-Sheffield-30-in-W-x-22-in-D-x-35-25-in-H-Single-Bath-Vanity-in-Espresso-with-White-Carrara-Marble-Top-and-MC-Mirror-WCS141430SESCMUNOMED/206476568,,Wyndham Collection,https://images.thdstatic.com/productImages/7f649833-b174-4e66-a7d6-caa85878bee2/svn/wyndham-collection-bathroom-vanities-with-tops-wcs141430sescmunomed-64_1000.jpg,,103799,Sheffield 30 in. W x 22 in. D x 35.25 in. H Single Bath Vanity in Espresso with White Carrara Marble Top and MC Mirror,https://assets.stylumia.com/originals/2024/11/68/793d9da5d0ad49e42e9587f914e76675a4976b773d2f23ae75422ff494ed957e.jpg,,"['Sheffield 30 in bathroom vanity with white carrara marble top', 'Features 2 doors, 1 drawer, and generous storage space', 'Mirror and backsplash included; faucet not included', 'Constructed of environmentally friendly, zero emissions solid wood, engineered to prevent warping and last a lifetime; 12-stage wood preparation, sanding, painting and finishing process; highly water-resistant low V.O.C. sealed finish; beautiful transitional styling that compliments any bathroom; practical floor-standing design', 'Minimal assembly required; deep doweled drawers; fully-extending under-mount soft-close drawer slides; concealed soft-close door hinges; white carrara marble countertop', 'Counter includes 3 in. backsplash; available with porcelain under-mount sink(s); oval sink(s) available with pre-drilled 8 in. widespread 3-hole faucet mounts; faucet(s) not included; metal exterior hardware with brushed chrome finish', '2 functional doors', '1 functional drawer', 'Plenty of storage space', 'Variations in the shading and grain of our natural stone products enhance the individuality of your vanity and ensure that it will be truly unique', 'Plenty of counter space']","{'Top Material': 'Marble', 'Vanity Features': 'Adjustable Hinges,Concealed Hinges,Predrilled,Prefinished,Soft Close Doors,Soft Close Drawers', 'Top Color': 'White Carrara Marble', 'Assembled': 'Unassembled', 'Sink Color': 'White', 'Product Depth (in.)': '22 in', 'Faucet Included': 'Faucet Not Included', 'Number of Shelves Included in Cabinet': '0', 'Mirror Height (in.)': '33', 'Cabinet Color': 'Espresso with Brushed Chrome Trim', 'Internet Sku': '206476568', 'Cabinet Color Family': 'Brown', 'Top Color Family': 'White', 'Basin Depth (in.)': '6.5', 'Cabinet Shade': 'Dark', 'Top weight (lb.)': '90', 'Sink Color Family': 'White', 'Number of Sinks': 'Single Sink', 'Manufacturer Warranty': '2 year limited warranty', 'Vanity Top Thickness (in.)': '0.75', 'Hardware Finish Family': 'Chrome', 'Style': 'Transitional', 'Sink Type': 'Undermount', 'Sink Material': 'Porcelain', 'Basin Length (in.)': '12.5', 'Mirror Width (in.)': '24', 'Backsplash Height (in.)': '3', 'Cabinet Width (in.)': '30.00', 'Cabinet & Top Assembled weight (lbs)': '198', 'Mirror Features': 'Beveled Edge Mirror', 'Returnable': '90-Day', 'Vanity Top Edge Type': 'Straight', 'Sink Location': 'Center', 'Cabinet Height (in.)': '35.25', 'Product Width (in.)': '30 in', 'Included': 'Drawers,Legs,Pull Handle(s)', 'Cabinet Material': 'Wood', 'Backsplash Included': 'Backsplash Included', 'Vanity Type': 'Freestanding', 'Cabinet Depth (in.)': '22.00', 'Store Sku': '1001555305', 'Sink Shape': 'Round', 'Mirror Included': 'Mirror Included', 'Faucet Hole Spacing (in.)': '8 in. Faucet Hole Spacing', 'Number of Drawers': '1', 'Model': 'WCS141430SESCMUNOMED', 'Basin Width (in.)': '16.5', 'Product Height (in.)': '35.25 in'}",Bathroom Vanities,HomeDepot US,,,
saree,,"Colour:Purple Fabric:Georgette Design Type:Stone Work,Thread Work Items Included:Saree Wash Care:Dry Clean Only Disclaimer Text:Product color may slightly vary due to photographic lighting sources or ",,https://www.manyavar.com/en-in/saree/dazzling-purple-georgette-saree/UC124562.html,,Mohey,https://manyavar.scene7.com/is/image/manyavar/SB15809_413-PURPLE_101.34566_23-10-2024-17-33:650x900,,17999,Dazzling Purple Georgette Saree,https://assets.stylumia.com/originals/2024/11/198/ba26b6e8fa2a8b950bb59639b3ea73791f07c7894e10e1c16abaeca8797ec1ae.jpg,,"['Colour:Purple', 'Fabric:Georgette', 'Design Type:Stone Work,Thread Work', 'Items Included:Saree', 'Wash Care:Dry Clean Only', 'Disclaimer Text:Product color may slightly vary due to photographic lighting sources or your monitor/screen settings.', 'Manufacturer:Vedant Fashions Limited,Paridhan Garment Park, 19, Canal South Road, SDF-1, 4th Floor, A501-A502, Kolkata, West Bengal 700015 INDIA']",{},Sarees,Manyavar IN,,,
red saree,,"Colour:Purple Fabric:Georgette Design Type:Stone Work,Thread Work Items Included:Saree Wash Care:Dry Clean Only Disclaimer Text:Product color may slightly vary due to photographic lighting sources or ",,https://www.manyavar.com/en-in/saree/dazzling-purple-georgette-saree/UC124562.html,,Mohey,https://manyavar.scene7.com/is/image/manyavar/SB15809_413-PURPLE_101.34566_23-10-2024-17-33:650x900,,17999,Dazzling Purple Georgette Saree,https://assets.stylumia.com/originals/2024/11/198/ba26b6e8fa2a8b950bb59639b3ea73791f07c7894e10e1c16abaeca8797ec1ae.jpg,,"['Colour:Purple', 'Fabric:Georgette', 'Design Type:Stone Work,Thread Work', 'Items Included:Saree', 'Wash Care:Dry Clean Only', 'Disclaimer Text:Product color may slightly vary due to photographic lighting sources or your monitor/screen settings.', 'Manufacturer:Vedant Fashions Limited,Paridhan Garment Park, 19, Canal South Road, SDF-1, 4th Floor, A501-A502, Kolkata, West Bengal 700015 INDIA']",{},Sarees,Manyavar IN,,,
wazza saree,,"Colour:Purple Fabric:Georgette Design Type:Stone Work,Thread Work Items Included:Saree Wash Care:Dry Clean Only Disclaimer Text:Product color may slightly vary due to photographic lighting sources or ",,https://www.manyavar.com/en-in/saree/dazzling-purple-georgette-saree/UC124562.html,,Mohey,https://manyavar.scene7.com/is/image/manyavar/SB15809_413-PURPLE_101.34566_23-10-2024-17-33:650x900,,17999,Dazzling Purple Georgette Saree,https://assets.stylumia.com/originals/2024/11/198/ba26b6e8fa2a8b950bb59639b3ea73791f07c7894e10e1c16abaeca8797ec1ae.jpg,,"['Colour:Purple', 'Fabric:Georgette', 'Design Type:Stone Work,Thread Work', 'Items Included:Saree', 'Wash Care:Dry Clean Only', 'Disclaimer Text:Product color may slightly vary due to photographic lighting sources or your monitor/screen settings.', 'Manufacturer:Vedant Fashions Limited,Paridhan Garment Park, 19, Canal South Road, SDF-1, 4th Floor, A501-A502, Kolkata, West Bengal 700015 INDIA']",{},Sarees,Manyavar IN,,,
name of dog,,Veer_Fahion Supplier Information,,https://www.meesho.com/graceful-kurtis/p/7cf3ki,,Generic,https://images.meesho.com/images/products/444123090/xo4av.jpg,,3599,Graceful Kurtis,https://assets.stylumia.com/originals/2024/11/401/e0c48eab31c7e153a8e0289f5465a4ebd11cea7810f3e8b243daac5bab566dc4.jpg,,[],{'Supplier Information': 'Veer_Fahion'},Kurtis,Meesho IN,,,
wazzah saree,,"Colour:Purple Fabric:Georgette Design Type:Stone Work,Thread Work Items Included:Saree Wash Care:Dry Clean Only Disclaimer Text:Product color may slightly vary due to photographic lighting sources or ",,https://www.manyavar.com/en-in/saree/dazzling-purple-georgette-saree/UC124562.html,,Mohey,https://manyavar.scene7.com/is/image/manyavar/SB15809_413-PURPLE_101.34566_23-10-2024-17-33:650x900,,17999,Dazzling Purple Georgette Saree,https://assets.stylumia.com/originals/2024/11/198/ba26b6e8fa2a8b950bb59639b3ea73791f07c7894e10e1c16abaeca8797ec1ae.jpg,,"['Colour:Purple', 'Fabric:Georgette', 'Design Type:Stone Work,Thread Work', 'Items Included:Saree', 'Wash Care:Dry Clean Only', 'Disclaimer Text:Product color may slightly vary due to photographic lighting sources or your monitor/screen settings.', 'Manufacturer:Vedant Fashions Limited,Paridhan Garment Park, 19, Canal South Road, SDF-1, 4th Floor, A501-A502, Kolkata, West Bengal 700015 INDIA']",{},Sarees,Manyavar IN,,,
bad saree,,"Colour:Purple Fabric:Georgette Design Type:Stone Work,Thread Work Items Included:Saree Wash Care:Dry Clean Only Disclaimer Text:Product color may slightly vary due to photographic lighting sources or ",,https://www.manyavar.com/en-in/saree/dazzling-purple-georgette-saree/UC124562.html,,Mohey,https://manyavar.scene7.com/is/image/manyavar/SB15809_413-PURPLE_101.34566_23-10-2024-17-33:650x900,,17999,Dazzling Purple Georgette Saree,https://assets.stylumia.com/originals/2024/11/198/ba26b6e8fa2a8b950bb59639b3ea73791f07c7894e10e1c16abaeca8797ec1ae.jpg,,"['Colour:Purple', 'Fabric:Georgette', 'Design Type:Stone Work,Thread Work', 'Items Included:Saree', 'Wash Care:Dry Clean Only', 'Disclaimer Text:Product color may slightly vary due to photographic lighting sources or your monitor/screen settings.', 'Manufacturer:Vedant Fashions Limited,Paridhan Garment Park, 19, Canal South Road, SDF-1, 4th Floor, A501-A502, Kolkata, West Bengal 700015 INDIA']",{},Sarees,Manyavar IN,,,
badass saree,,"Colour:Purple Fabric:Georgette Design Type:Stone Work,Thread Work Items Included:Saree Wash Care:Dry Clean Only Disclaimer Text:Product color may slightly vary due to photographic lighting sources or ",,https://www.manyavar.com/en-in/saree/dazzling-purple-georgette-saree/UC124562.html,,Mohey,https://manyavar.scene7.com/is/image/manyavar/SB15809_413-PURPLE_101.34566_23-10-2024-17-33:650x900,,17999,Dazzling Purple Georgette Saree,https://assets.stylumia.com/originals/2024/11/198/ba26b6e8fa2a8b950bb59639b3ea73791f07c7894e10e1c16abaeca8797ec1ae.jpg,,"['Colour:Purple', 'Fabric:Georgette', 'Design Type:Stone Work,Thread Work', 'Items Included:Saree', 'Wash Care:Dry Clean Only', 'Disclaimer Text:Product color may slightly vary due to photographic lighting sources or your monitor/screen settings.', 'Manufacturer:Vedant Fashions Limited,Paridhan Garment Park, 19, Canal South Road, SDF-1, 4th Floor, A501-A502, Kolkata, West Bengal 700015 INDIA']",{},Sarees,Manyavar IN,,,
